Person,Certified,Taught
48,2014-05-04,2014-09-11
75,2013-07-20,2013-03-20
75,2013-07-20,2013-03-24
75,2013-07-20,2013-04-08
75,2013-07-20,2013-06-03
75,2013-07-20,2013-07-18
75,2013-07-20,2013-08-27
75,2013-07-20,2013-12-03
75,2013-07-20,2014-01-21
75,2013-07-20,2014-01-30
75,2013-07-20,2014-04-29
75,2013-07-20,2014-05-23
75,2013-07-20,2014-08-05
75,2013-07-20,2015-01-07
75,2013-07-20,2015-04-13
75,2013-07-20,2015-07-06
85,2014-12-23,2015-03-06
85,2014-12-23,2015-06-17
85,2014-12-23,2015-07-16
85,2014-12-23,2016-01-19
87,2013-11-25,2014-05-12
87,2013-11-25,2015-03-20
87,2013-11-25,2015-09-08
87,2013-11-25,2015-11-05
135,2015-02-03,2015-09-03
155,2014-09-18,2015-01-15
155,2014-09-18,2015-04-09
155,2014-09-18,2015-10-22
161,2014-11-27,2015-01-14
161,2014-11-27,2015-09-28
183,2014-10-16,2015-04-16
187,2015-02-27,2015-07-02
187,2015-02-27,2015-08-03
187,2015-02-27,2015-09-28
231,2012-12-20,2012-11-28
231,2012-12-20,2013-03-07
231,2012-12-20,2014-01-27
231,2012-12-20,2014-07-19
253,2014-10-03,2015-01-08
266,2014-12-23,2013-05-09
266,2014-12-23,2013-12-03
266,2014-12-23,2014-12-03
266,2014-12-23,2015-02-03
266,2014-12-23,2015-04-16
266,2014-12-23,2015-11-25
266,2014-12-23,2016-02-16
319,2012-12-20,2012-07-12
319,2012-12-20,2012-07-19
319,2012-12-20,2012-11-08
319,2012-12-20,2013-06-09
319,2012-12-20,2014-04-14
319,2012-12-20,2014-06-22
319,2012-12-20,2014-07-02
319,2012-12-20,2014-10-06
319,2012-12-20,2014-12-18
319,2012-12-20,2015-01-08
319,2012-12-20,2016-02-02
345,2016-02-12,2016-01-16
361,2013-11-25,2014-04-09
361,2013-11-25,2014-06-20
361,2013-11-25,2014-06-24
361,2013-11-25,2014-07-08
361,2013-11-25,2014-10-11
361,2013-11-25,2014-12-18
361,2013-11-25,2015-05-26
361,2013-11-25,2016-01-03
410,2015-02-27,2015-02-23
410,2015-02-27,2015-02-26
410,2015-02-27,2015-06-23
410,2015-02-27,2015-08-24
410,2015-02-27,2016-02-02
415,2014-08-12,2014-07-24
415,2014-08-12,2015-01-05
464,2014-09-18,2015-02-21
464,2014-09-18,2015-10-03
464,2014-09-18,2016-02-18
464,2014-09-18,2016-05-07
497,2014-05-04,2014-10-30
497,2014-05-04,2015-05-11
497,2014-05-04,2015-06-25
497,2014-05-04,2016-01-09
500,2013-07-20,2013-09-24
500,2013-07-20,2013-10-03
500,2013-07-20,2014-02-13
500,2013-07-20,2014-02-18
500,2013-07-20,2014-07-14
500,2013-07-20,2014-10-31
500,2013-07-20,2014-12-11
506,2015-02-28,2015-05-04
544,2014-11-27,2015-11-30
559,2014-11-05,2014-06-24
559,2014-11-05,2014-07-08
559,2014-11-05,2015-01-05
570,2013-11-17,2013-09-24
570,2013-11-17,2014-07-30
570,2013-11-17,2016-02-01
574,2014-05-09,2014-08-26
574,2014-05-09,2016-03-23
609,2014-05-04,2014-02-11
609,2014-05-04,2014-10-06
614,2015-05-05,2015-06-22
616,2015-05-26,2015-11-25
647,2013-11-17,2013-08-22
647,2013-11-17,2015-01-26
647,2013-11-17,2015-04-18
647,2013-11-17,2015-07-13
670,2014-07-22,2013-04-04
670,2014-07-22,2013-09-27
670,2014-07-22,2014-02-18
684,2015-06-12,2015-08-24
684,2015-06-12,2015-09-28
684,2015-06-12,2015-10-19
751,2015-03-25,2015-06-18
751,2015-03-25,2016-02-02
761,2015-05-05,2015-01-15
779,2013-07-20,2013-06-17
779,2013-07-20,2013-09-19
779,2013-07-20,2013-10-03
779,2013-07-20,2013-10-17
779,2013-07-20,2014-09-18
779,2013-07-20,2014-11-06
779,2013-07-20,2015-04-17
779,2013-07-20,2015-09-15
814,2014-11-11,2015-04-16
815,2015-03-25,2015-06-18
832,2015-05-14,2016-02-05
840,2014-11-27,2013-08-22
840,2014-11-27,2015-01-29
841,2012-12-20,2012-10-25
841,2012-12-20,2012-12-04
841,2012-12-20,2013-04-27
841,2012-12-20,2013-05-09
841,2012-12-20,2013-05-13
841,2012-12-20,2013-09-16
841,2012-12-20,2014-02-24
841,2012-12-20,2014-04-14
841,2012-12-20,2014-08-14
841,2012-12-20,2015-01-03
841,2012-12-20,2015-08-17
841,2012-12-20,2016-01-03
906,2012-12-20,2012-09-28
906,2012-12-20,2012-10-25
906,2012-12-20,2012-11-30
906,2012-12-20,2013-05-23
906,2012-12-20,2013-07-27
906,2012-12-20,2013-08-23
906,2012-12-20,2013-09-16
906,2012-12-20,2014-03-10
906,2012-12-20,2015-01-03
906,2012-12-20,2015-09-24
920,2016-03-22,2013-03-04
949,2015-05-05,2014-08-25
949,2015-05-05,2015-04-27
949,2015-05-05,2015-06-03
965,2012-12-20,2012-05-07
965,2012-12-20,2012-11-15
965,2012-12-20,2013-02-25
965,2012-12-20,2013-04-04
965,2012-12-20,2014-04-14
965,2012-12-20,2015-07-06
965,2012-12-20,2015-11-23
978,2015-05-26,2015-09-24
1007,2013-07-24,2013-01-11
1007,2013-07-24,2013-01-21
1007,2013-07-24,2013-05-16
1007,2013-07-24,2013-05-20
1007,2013-07-24,2014-01-27
1007,2013-07-24,2014-03-17
1007,2013-07-24,2014-05-12
1007,2013-07-24,2015-03-05
1060,2014-11-05,2014-08-12
1060,2014-11-05,2015-08-20
1099,2014-05-09,2014-02-11
1099,2014-05-09,2014-05-12
1099,2014-05-09,2014-07-15
1122,2015-10-13,2016-03-17
1126,2015-08-03,2014-11-24
1126,2015-08-03,2015-01-14
1126,2015-08-03,2015-08-26
1126,2015-08-03,2015-09-10
1126,2015-08-03,2015-10-29
1126,2015-08-03,2016-01-11
1126,2015-08-03,2016-01-19
1126,2015-08-03,2016-04-18
1139,2014-11-27,2015-08-24
1157,2013-07-24,2012-05-16
1157,2013-07-24,2012-12-10
1158,2012-12-20,2012-04-30
1158,2012-12-20,2012-05-14
1158,2012-12-20,2012-09-13
1158,2012-12-20,2013-02-06
1182,2016-02-29,2016-01-30
1182,2016-02-29,2016-04-02
1270,2014-08-12,2014-06-24
1270,2014-08-12,2014-08-06
1270,2014-08-12,2015-01-08
1270,2014-08-12,2016-01-11
1286,2014-05-04,2014-02-22
1292,2013-12-05,2014-06-16
1325,2015-03-25,2015-06-25
1325,2015-03-25,2015-07-22
1325,2015-03-25,2015-08-26
1325,2015-03-25,2016-01-18
1359,2014-05-09,2014-06-24
1359,2014-05-09,2014-08-11
1359,2014-05-09,2014-09-24
1359,2014-05-09,2014-11-07
1359,2014-05-09,2015-03-06
1359,2014-05-09,2015-04-01
1359,2014-05-09,2015-05-12
1359,2014-05-09,2015-06-22
1359,2014-05-09,2015-06-25
1359,2014-05-09,2015-10-12
1428,2014-09-18,2015-06-02
1445,2014-07-22,2013-07-01
1445,2014-07-22,2014-03-17
1481,2012-12-20,2012-05-22
1481,2012-12-20,2013-01-30
1481,2012-12-20,2013-05-06
1481,2012-12-20,2013-06-24
1481,2012-12-20,2013-09-05
1481,2012-12-20,2014-01-08
1481,2012-12-20,2014-06-24
1481,2012-12-20,2015-08-24
1481,2012-12-20,2016-02-22
1486,2012-12-20,2012-05-14
1524,2015-01-07,2015-04-09
1553,2014-05-04,2014-04-03
1553,2014-05-04,2014-06-10
1553,2014-05-04,2014-06-15
1553,2014-05-04,2014-11-12
1553,2014-05-04,2015-06-15
1553,2014-05-04,2015-11-04
1585,2015-05-26,2014-09-29
1585,2015-05-26,2015-04-02
1585,2015-05-26,2015-09-23
1585,2015-05-26,2016-03-23
1637,2014-05-04,2015-05-19
1649,2014-11-22,2014-04-14
1649,2014-11-22,2014-11-06
1649,2014-11-22,2015-01-10
1649,2014-11-22,2015-05-12
1649,2014-11-22,2016-02-22
1649,2014-11-22,2016-03-14
1658,2015-02-28,2015-04-08
1678,2014-12-08,2015-03-24
1678,2014-12-08,2015-05-19
1678,2014-12-08,2015-08-19
1678,2014-12-08,2015-12-10
1685,2013-07-24,2012-07-10
1685,2013-07-24,2013-05-02
1685,2013-07-24,2013-05-06
1685,2013-07-24,2014-02-18
1685,2013-07-24,2014-02-28
1687,2014-11-17,2013-04-04
1687,2014-11-17,2013-05-16
1687,2014-11-17,2013-07-08
1687,2014-11-17,2013-08-22
1687,2014-11-17,2014-05-08
1687,2014-11-17,2014-06-16
1687,2014-11-17,2015-01-29
1687,2014-11-17,2016-04-11
1701,2012-12-20,2012-02-20
1701,2012-12-20,2012-05-14
1701,2012-12-20,2012-10-30
1701,2012-12-20,2013-01-22
1701,2012-12-20,2013-01-25
1701,2012-12-20,2013-03-07
1701,2012-12-20,2015-09-17
1701,2012-12-20,2015-12-07
1701,2012-12-20,2015-12-15
1701,2012-12-20,2016-05-04
1757,2015-05-05,2015-07-24
1757,2015-05-05,2015-10-19
1798,2015-02-27,2015-03-10
1798,2015-02-27,2015-04-08
1798,2015-02-27,2015-05-27
1798,2015-02-27,2015-10-07
1798,2015-02-27,2015-11-11
1804,2013-11-25,2013-06-17
1804,2013-11-25,2013-09-19
1804,2013-11-25,2014-07-08
1804,2013-11-25,2014-09-18
1804,2013-11-25,2015-01-15
1804,2013-11-25,2015-06-22
1804,2013-11-25,2015-09-15
1806,2014-11-22,2014-02-03
1806,2014-11-22,2016-03-08
1827,2012-12-20,2012-02-23
1827,2012-12-20,2012-06-18
1827,2012-12-20,2012-10-17
1827,2012-12-20,2012-10-20
1827,2012-12-20,2012-10-23
1827,2012-12-20,2013-02-25
1827,2012-12-20,2013-05-09
1827,2012-12-20,2013-05-13
1827,2012-12-20,2013-06-25
1827,2012-12-20,2013-11-23
1827,2012-12-20,2014-03-17
1827,2012-12-20,2014-09-22
1827,2012-12-20,2015-01-03
1827,2012-12-20,2015-07-06
1828,2013-11-17,2013-10-17
1828,2013-11-17,2014-01-30
1828,2013-11-17,2014-03-17
1828,2013-11-17,2015-01-29
1828,2013-11-17,2015-06-25
1828,2013-11-17,2016-01-28
1828,2013-11-17,2016-02-08
1828,2013-11-17,2016-02-25
1914,2015-02-27,2015-07-20
1914,2015-02-27,2016-02-01
1942,2014-10-16,2014-12-15
1942,2014-10-16,2015-03-03
1942,2014-10-16,2015-10-27
1942,2014-10-16,2016-01-06
1954,2013-11-17,2013-05-09
1954,2013-11-17,2014-05-05
1954,2013-11-17,2014-06-04
1954,2013-11-17,2014-10-06
1954,2013-11-17,2014-11-06
1954,2013-11-17,2015-01-10
1954,2013-11-17,2015-04-18
1980,2015-05-26,2016-02-22
1983,2016-04-08,2016-04-25
1987,2012-12-20,2013-01-12
1987,2012-12-20,2013-07-15
1987,2012-12-20,2013-11-14
1987,2012-12-20,2014-01-06
1987,2012-12-20,2014-07-14
1998,2014-11-05,2014-06-02
2036,2015-06-12,2015-09-15
2036,2015-06-12,2015-09-28
2036,2015-06-12,2015-10-17
2036,2015-06-12,2015-11-20
2036,2015-06-12,2016-01-19
2036,2015-06-12,2016-04-28
2037,2016-01-30,2015-10-07
2037,2016-01-30,2016-02-01
2037,2016-01-30,2016-03-31
2037,2016-01-30,2016-05-12
2054,2016-02-25,2015-05-27
2054,2016-02-25,2015-08-04
2054,2016-02-25,2015-09-24
2054,2016-02-25,2015-10-12
2054,2016-02-25,2016-01-07
2054,2016-02-25,2016-04-29
2106,2013-11-17,2014-01-08
2106,2013-11-17,2014-01-27
2106,2013-11-17,2014-02-15
2106,2013-11-17,2014-04-04
2106,2013-11-17,2014-06-02
2106,2013-11-17,2014-11-27
2106,2013-11-17,2015-01-11
2106,2013-11-17,2015-03-24
2106,2013-11-17,2015-04-15
2106,2013-11-17,2015-05-19
2106,2013-11-17,2015-05-27
2106,2013-11-17,2016-04-12
2152,2012-12-20,2011-11-07
2152,2012-12-20,2012-02-23
2152,2012-12-20,2012-07-19
2184,2015-05-05,2014-10-31
2184,2015-05-05,2015-04-17
2184,2015-05-05,2015-08-21
2184,2015-05-05,2016-04-07
2261,2012-12-20,2012-07-16
2261,2012-12-20,2012-11-10
2261,2012-12-20,2013-01-30
2261,2012-12-20,2013-05-02
2261,2012-12-20,2013-05-06
2261,2012-12-20,2013-09-16
2261,2012-12-20,2013-10-25
2261,2012-12-20,2014-01-27
2261,2012-12-20,2014-02-24
2261,2012-12-20,2015-05-27
2261,2012-12-20,2015-09-24
2261,2012-12-20,2016-01-03
2272,2014-05-04,2014-06-04
2272,2014-05-04,2015-06-02
2272,2014-05-04,2015-07-27
2274,2013-07-24,2013-04-04
2278,2015-07-08,2016-01-13
2375,2013-07-20,2014-02-13
2375,2013-07-20,2014-02-18
2375,2013-07-20,2016-02-01
2406,2015-02-03,2015-04-16
2406,2015-02-03,2015-12-14
2406,2015-02-03,2016-02-16
2406,2015-02-03,2016-03-23
2416,2016-04-25,2016-05-02
2436,2014-10-03,2015-04-02
2436,2014-10-03,2015-05-11
2436,2014-10-03,2015-09-08
2436,2014-10-03,2015-11-11
2436,2014-10-03,2016-02-22
2452,2015-05-05,2015-08-24
2478,2013-07-20,2012-09-13
2478,2013-07-20,2013-01-25
2478,2013-07-20,2013-02-06
2495,2013-11-17,2013-05-06
2495,2013-11-17,2013-09-23
2507,2013-07-20,2014-02-13
2507,2013-07-20,2014-02-18
2515,2016-05-13,2016-03-31
2525,2014-05-04,2015-08-10
2550,2014-12-11,2014-08-23
2550,2014-12-11,2015-08-20
2550,2014-12-11,2015-09-22
2551,2015-06-12,2014-08-12
2551,2015-06-12,2015-08-20
2551,2015-06-12,2016-01-19
2554,2015-06-04,2015-06-02
2554,2015-06-04,2015-12-02
2554,2015-06-04,2016-02-01
2586,2015-05-05,2015-11-16
2586,2015-05-05,2016-03-21
2589,2014-10-03,2012-10-30
2589,2014-10-03,2015-01-13
2589,2014-10-03,2015-10-12
2618,2016-04-14,2014-04-23
2623,2015-03-12,2015-07-22
2636,2014-05-09,2014-08-21
2636,2014-05-09,2015-12-15
2653,2014-12-08,2015-04-16
2653,2014-12-08,2015-10-12
2653,2014-12-08,2016-01-19
2653,2014-12-08,2016-04-25
2707,2014-12-23,2015-01-15
2707,2014-12-23,2015-04-09
2742,2014-05-04,2015-01-27
2742,2014-05-04,2015-09-15
2759,2014-12-08,2015-08-26
2761,2014-11-13,2014-01-07
2761,2014-11-13,2014-11-06
2761,2014-11-13,2015-05-14
2761,2014-11-13,2015-09-10
2761,2014-11-13,2016-05-16
2848,2015-05-26,2015-06-25
2848,2015-05-26,2016-04-25
2851,2013-11-17,2014-01-08
2851,2013-11-17,2014-04-14
2851,2013-11-17,2014-08-11
2943,2013-11-17,2013-10-25
2943,2013-11-17,2014-01-13
2943,2013-11-17,2014-04-14
2943,2013-11-17,2014-06-24
2943,2013-11-17,2014-09-24
2943,2013-11-17,2014-10-06
2943,2013-11-17,2014-11-07
2943,2013-11-17,2015-01-08
2943,2013-11-17,2015-01-29
2943,2013-11-17,2015-03-23
2943,2013-11-17,2015-04-01
2943,2013-11-17,2015-06-15
2943,2013-11-17,2015-08-27
2943,2013-11-17,2015-11-11
2943,2013-11-17,2016-01-11
2943,2013-11-17,2016-01-13
2943,2013-11-17,2016-03-07
2943,2013-11-17,2016-04-12
2978,2014-12-08,2015-02-14
2978,2014-12-08,2015-03-30
2978,2014-12-08,2015-06-22
2978,2014-12-08,2016-03-28
2978,2014-12-08,2016-05-04
3000,2015-05-14,2016-02-05
3008,2016-02-04,2015-10-17
3008,2016-02-04,2016-02-02
3012,2014-11-20,2014-12-03
3012,2014-11-20,2014-12-11
3032,2015-06-12,2015-07-16
3032,2015-06-12,2015-11-19
3060,2015-02-27,2015-04-08
3077,2014-12-11,2015-05-11
3077,2014-12-11,2015-08-13
3115,2014-11-27,2014-07-15
3115,2014-11-27,2014-10-30
3115,2014-11-27,2015-01-31
3115,2014-11-27,2015-02-05
3115,2014-11-27,2015-05-27
3115,2014-11-27,2015-08-06
3126,2014-12-08,2015-01-27
3126,2014-12-08,2015-08-20
3126,2014-12-08,2015-09-28
3126,2014-12-08,2015-11-05
3142,2013-07-20,2013-02-25
3142,2013-07-20,2013-06-06
3142,2013-07-20,2013-09-26
3142,2013-07-20,2014-01-06
3150,2012-12-20,2011-11-07
3150,2012-12-20,2012-02-20
3150,2012-12-20,2012-07-10
3150,2012-12-20,2013-01-31
3150,2012-12-20,2013-07-15
3150,2012-12-20,2013-09-21
3150,2012-12-20,2014-03-17
3150,2012-12-20,2014-07-08
3150,2012-12-20,2014-10-06
3150,2012-12-20,2015-06-22
3151,2014-12-23,2015-06-09
3151,2014-12-23,2015-07-23
3151,2014-12-23,2015-09-23
3169,2012-12-20,2012-03-26
3186,2014-05-04,2014-04-14
3186,2014-05-04,2014-11-06
3186,2014-05-04,2015-01-10
3211,2015-03-12,2015-07-02
3211,2015-03-12,2015-09-28
3211,2015-03-12,2015-10-01
3211,2015-03-12,2015-11-26
3211,2015-03-12,2015-12-09
3211,2015-03-12,2016-02-01
3218,2015-01-21,2015-04-15
3218,2015-01-21,2015-08-20
3218,2015-01-21,2015-11-20
3218,2015-01-21,2016-03-07
3218,2015-01-21,2016-03-21
3226,2014-05-09,2014-04-14
3226,2014-05-09,2014-09-22
3226,2014-05-09,2015-07-06
3242,2015-04-20,2015-11-22
3248,2012-12-20,2012-10-08
3248,2012-12-20,2013-05-06
3248,2012-12-20,2013-07-11
3248,2012-12-20,2014-03-10
3278,2015-01-21,2015-04-18
3278,2015-01-21,2015-08-13
3287,2015-04-20,2015-03-03
3287,2015-04-20,2015-03-20
3287,2015-04-20,2015-04-22
3287,2015-04-20,2015-07-15
3287,2015-04-20,2015-10-27
3287,2015-04-20,2015-11-05
3287,2015-04-20,2016-01-06
3291,2012-12-20,2012-10-18
3291,2012-12-20,2013-01-11
3291,2012-12-20,2013-01-21
3291,2012-12-20,2013-02-05
3291,2012-12-20,2013-05-23
3291,2012-12-20,2013-06-06
3291,2012-12-20,2014-04-09
3291,2012-12-20,2014-05-23
3291,2012-12-20,2015-10-06
3321,2014-12-23,2015-11-11
3321,2014-12-23,2015-12-15
3375,2015-03-12,2015-10-01
3375,2015-03-12,2015-10-07
3375,2015-03-12,2016-02-01
3411,2013-11-17,2014-03-17
3411,2013-11-17,2014-04-29
3411,2013-11-17,2014-06-26
3411,2013-11-17,2014-07-24
3411,2013-11-17,2014-09-11
3411,2013-11-17,2015-01-27
3411,2013-11-17,2015-04-18
3411,2013-11-17,2016-02-22
3411,2013-11-17,2016-03-07
3417,2014-11-27,2015-04-18
3417,2014-11-27,2015-05-27
3417,2014-11-27,2015-11-19
3417,2014-11-27,2016-03-07
3424,2013-11-17,2013-04-04
3424,2013-11-17,2013-09-27
3424,2013-11-17,2013-10-24
3424,2013-11-17,2014-02-18
3424,2013-11-17,2014-05-19
3424,2013-11-17,2015-02-25
3459,2012-12-20,2012-06-28
3459,2012-12-20,2013-01-22
3459,2012-12-20,2013-04-20
3459,2012-12-20,2014-05-19
3459,2012-12-20,2015-04-13
