Person,Certified,Taught
7788,2016-01-30,2015-09-10
7828,2013-11-17,2013-05-09
7828,2013-11-17,2014-01-14
7828,2013-11-17,2014-11-27
7828,2013-11-17,2016-01-26
7839,2015-02-28,2015-07-03
7858,2015-07-11,2015-06-02
7858,2015-07-11,2015-12-02
7858,2015-07-11,2016-02-01
7864,2013-07-20,2012-11-10
7864,2013-07-20,2013-06-24
7864,2013-07-20,2014-03-17
7864,2013-07-20,2015-01-05
7864,2013-07-20,2016-01-11
7881,2013-12-05,2014-10-13
7881,2013-12-05,2015-11-05
7917,2014-05-09,2015-06-22
7929,2014-10-03,2014-10-13
7969,2014-05-04,2015-02-21
7969,2014-05-04,2015-10-03
7969,2014-05-04,2015-11-02
7971,2015-03-12,2016-04-29
7976,2015-01-07,2015-01-15
7976,2015-01-07,2015-04-09
7976,2015-01-07,2015-06-25
7995,2012-12-20,2012-11-15
7995,2012-12-20,2013-05-09
7995,2012-12-20,2013-05-13
7995,2012-12-20,2013-05-23
7995,2012-12-20,2013-06-24
7995,2012-12-20,2013-09-23
7995,2012-12-20,2014-03-17
7995,2012-12-20,2014-05-08
7995,2012-12-20,2014-07-24
7995,2012-12-20,2014-09-29
7995,2012-12-20,2015-01-06
7995,2012-12-20,2015-02-09
7995,2012-12-20,2015-04-23
7995,2012-12-20,2015-05-30
7995,2012-12-20,2015-09-22
7995,2012-12-20,2015-11-23
7995,2012-12-20,2016-01-13
7995,2012-12-20,2016-01-21
7995,2012-12-20,2016-03-03
7995,2012-12-20,2016-03-15
7995,2012-12-20,2016-04-04
8017,2016-01-27,2016-01-14
8020,2014-07-22,2013-09-16
8048,2016-02-11,2015-12-07
8050,2015-05-27,2015-12-14
8070,2015-06-23,2014-02-28
8084,2014-12-23,2014-12-18
8086,2015-01-07,2015-01-27
8086,2015-01-07,2015-03-05
8086,2015-01-07,2015-04-30
8086,2015-01-07,2015-07-24
8086,2015-01-07,2015-10-05
8086,2015-01-07,2015-10-17
8086,2015-01-07,2016-02-02
8151,2016-02-12,2016-05-09
8167,2013-07-20,2013-01-12
8167,2013-07-20,2013-06-03
8167,2013-07-20,2013-06-17
8167,2013-07-20,2013-07-18
8167,2013-07-20,2013-09-19
8167,2013-07-20,2013-10-17
8167,2013-07-20,2013-11-14
8167,2013-07-20,2013-12-03
8167,2013-07-20,2014-01-08
8167,2013-07-20,2014-01-13
8167,2013-07-20,2014-05-12
8167,2013-07-20,2014-05-29
8167,2013-07-20,2014-06-10
8167,2013-07-20,2014-09-18
8174,2016-02-11,2016-04-04
8202,2015-01-21,2015-06-04
8202,2015-01-21,2015-12-14
8215,2014-04-19,2014-03-10
8215,2014-04-19,2015-07-22
8221,2015-03-25,2015-05-30
8221,2015-03-25,2015-12-07
8265,2015-02-03,2015-05-04
8265,2015-02-03,2015-06-19
8265,2015-02-03,2015-08-17
8274,2014-11-27,2015-04-13
8274,2014-11-27,2015-09-23
8274,2014-11-27,2015-11-30
8283,2014-12-29,2015-11-30
8291,2015-07-03,2015-09-06
8291,2015-07-03,2015-10-03
8299,2016-02-02,2015-07-16
8299,2016-02-02,2015-11-05
8306,2016-02-12,2015-04-30
8306,2016-02-12,2015-10-17
8306,2016-02-12,2016-02-02
8306,2016-02-12,2016-04-25
8320,2016-03-15,2013-04-08
8325,2015-07-05,2016-02-01
8334,2014-07-22,2014-07-10
8334,2014-07-22,2014-12-14
8334,2014-07-22,2015-07-09
8346,2012-12-20,2012-06-28
8346,2012-12-20,2013-04-20
8346,2012-12-20,2013-06-03
8346,2012-12-20,2013-06-24
8346,2012-12-20,2014-05-19
8379,2013-07-20,2013-02-06
8379,2013-07-20,2014-05-08
8393,2013-07-20,2013-01-30
8393,2013-07-20,2013-04-27
8393,2013-07-20,2013-05-23
8393,2013-07-20,2014-03-17
8393,2013-07-20,2014-08-18
8393,2013-07-20,2014-08-28
8393,2013-07-20,2014-09-01
8393,2013-07-20,2014-09-04
8438,2015-06-23,2016-03-28
8443,2013-07-20,2013-07-18
8443,2013-07-20,2013-08-28
8443,2013-07-20,2014-07-28
8443,2013-07-20,2014-12-16
8443,2013-07-20,2015-01-15
8443,2013-07-20,2015-06-22
8471,2015-02-03,2015-06-18
8480,2014-11-20,2014-11-24
8480,2014-11-20,2015-01-14
8480,2014-11-20,2015-08-26
8480,2014-11-20,2016-01-06
8480,2014-11-20,2016-01-18
8497,2015-02-28,2015-04-08
8497,2015-02-28,2015-07-13
8497,2015-02-28,2015-09-10
8497,2015-02-28,2015-09-28
8497,2015-02-28,2015-10-17
8497,2015-02-28,2015-11-26
8497,2015-02-28,2015-12-07
8497,2015-02-28,2015-12-14
8497,2015-02-28,2016-03-29
8595,2014-11-04,2014-10-31
8606,2014-11-27,2015-01-05
8606,2014-11-27,2016-03-15
8620,2012-12-20,2013-04-04
8620,2012-12-20,2013-09-27
8620,2012-12-20,2014-05-19
8620,2012-12-20,2014-11-05
8620,2012-12-20,2015-02-25
8620,2012-12-20,2015-06-18
8623,2015-05-05,2015-09-28
8623,2015-05-05,2015-12-09
8623,2015-05-05,2016-02-01
8648,2015-05-14,2015-11-02
8648,2015-05-14,2016-01-07
8697,2012-12-20,2012-11-28
8697,2012-12-20,2013-02-05
8697,2012-12-20,2013-03-23
8697,2012-12-20,2013-07-25
8697,2012-12-20,2013-08-04
8697,2012-12-20,2014-04-02
8697,2012-12-20,2014-05-08
8697,2012-12-20,2015-03-16
8697,2012-12-20,2016-04-11
8698,2014-10-03,2015-02-09
8698,2014-10-03,2015-07-06
8700,2015-01-07,2015-01-15
8700,2015-01-07,2015-06-25
8710,2013-11-17,2013-12-03
8721,2016-01-27,2016-01-28
8721,2016-01-27,2016-02-08
8721,2016-01-27,2016-02-25
8728,2014-12-08,2015-09-17
8733,2014-10-16,2014-01-31
8733,2014-10-16,2015-04-17
8733,2014-10-16,2016-04-14
8740,2014-10-16,2014-10-13
8752,2016-03-27,2016-03-31
8755,2014-08-12,2014-08-06
8755,2014-08-12,2015-03-06
8755,2014-08-12,2015-07-30
8755,2014-08-12,2015-09-22
8755,2014-08-12,2016-01-19
8755,2014-08-12,2016-02-05
8757,2012-12-20,2012-11-08
8757,2012-12-20,2013-06-06
8757,2012-12-20,2013-11-23
8757,2012-12-20,2014-02-22
8757,2012-12-20,2014-03-17
8763,2014-05-04,2013-09-05
8777,2012-12-20,2012-01-18
8777,2012-12-20,2012-02-23
8777,2012-12-20,2012-03-07
8777,2012-12-20,2012-03-26
8777,2012-12-20,2012-03-28
8777,2012-12-20,2012-04-14
8777,2012-12-20,2012-04-15
8777,2012-12-20,2012-04-30
8777,2012-12-20,2012-05-07
8777,2012-12-20,2012-05-16
8777,2012-12-20,2012-05-22
8777,2012-12-20,2012-07-09
8777,2012-12-20,2012-07-12
8777,2012-12-20,2012-07-16
8777,2012-12-20,2012-07-19
8777,2012-12-20,2012-08-26
8777,2012-12-20,2012-09-13
8777,2012-12-20,2012-09-17
8777,2012-12-20,2012-09-28
8777,2012-12-20,2012-10-11
8777,2012-12-20,2012-10-18
8777,2012-12-20,2012-11-08
8777,2012-12-20,2012-11-28
8777,2012-12-20,2013-01-06
8777,2012-12-20,2013-01-12
8777,2012-12-20,2013-01-24
8777,2012-12-20,2013-02-07
8777,2012-12-20,2013-02-14
8777,2012-12-20,2013-02-25
8777,2012-12-20,2013-03-04
8777,2012-12-20,2013-03-12
8777,2012-12-20,2013-05-09
8777,2012-12-20,2013-05-12
8777,2012-12-20,2013-05-30
8777,2012-12-20,2013-08-12
8777,2012-12-20,2013-09-16
8777,2012-12-20,2013-09-30
8777,2012-12-20,2013-10-24
8777,2012-12-20,2013-11-18
8777,2012-12-20,2014-01-13
8777,2012-12-20,2014-01-16
8777,2012-12-20,2014-01-20
8777,2012-12-20,2014-02-11
8777,2012-12-20,2014-04-02
8777,2012-12-20,2014-04-14
8777,2012-12-20,2014-04-24
8777,2012-12-20,2014-04-28
8777,2012-12-20,2014-05-05
8777,2012-12-20,2014-05-12
8777,2012-12-20,2014-06-02
8777,2012-12-20,2014-06-05
8777,2012-12-20,2014-06-11
8777,2012-12-20,2014-06-16
8777,2012-12-20,2014-07-15
8777,2012-12-20,2014-08-06
8777,2012-12-20,2014-09-10
8777,2012-12-20,2014-09-22
8777,2012-12-20,2014-10-06
8777,2012-12-20,2014-10-22
8777,2012-12-20,2014-10-30
8777,2012-12-20,2014-11-12
8777,2012-12-20,2015-01-06
8777,2012-12-20,2015-01-29
8777,2012-12-20,2015-02-01
8777,2012-12-20,2015-02-05
8777,2012-12-20,2015-03-10
8777,2012-12-20,2015-03-16
8777,2012-12-20,2015-04-08
8777,2012-12-20,2015-05-04
8777,2012-12-20,2015-05-11
8777,2012-12-20,2015-05-27
8777,2012-12-20,2015-05-30
8777,2012-12-20,2015-06-08
8777,2012-12-20,2015-06-12
8777,2012-12-20,2015-06-16
8777,2012-12-20,2015-07-16
8777,2012-12-20,2015-09-08
8777,2012-12-20,2015-09-14
8777,2012-12-20,2015-09-21
8777,2012-12-20,2015-10-08
8777,2012-12-20,2015-10-15
8777,2012-12-20,2015-10-25
8777,2012-12-20,2015-11-23
8777,2012-12-20,2015-12-07
8777,2012-12-20,2016-01-21
8777,2012-12-20,2016-02-16
8777,2012-12-20,2016-02-22
8777,2012-12-20,2016-03-09
8777,2012-12-20,2016-04-25
8777,2012-12-20,2016-05-09
8777,2012-12-20,2016-05-11
8777,2012-12-20,2016-05-18
8784,2016-01-27,2013-04-29
8784,2016-01-27,2013-08-28
8784,2016-01-27,2014-01-13
8784,2016-01-27,2014-08-25
8784,2016-01-27,2015-01-13
8796,2015-04-20,2015-05-04
8796,2015-04-20,2015-11-02
8849,2014-10-03,2015-01-05
8849,2014-10-03,2015-04-27
8862,2013-07-17,2013-07-15
8862,2013-07-17,2013-09-12
8862,2013-07-17,2013-11-14
8877,2013-11-17,2013-10-29
8877,2013-11-17,2014-08-23
8877,2013-11-17,2015-11-16
8877,2013-11-17,2016-02-22
8884,2014-09-18,2015-01-08
8884,2014-09-18,2015-01-29
8884,2014-09-18,2015-02-05
8884,2014-09-18,2015-07-16
8884,2014-09-18,2015-11-19
8978,2014-05-04,2013-09-05
8978,2014-05-04,2014-07-10
8978,2014-05-04,2015-06-09
8978,2014-05-04,2015-08-24
8978,2014-05-04,2015-11-16
9052,2016-02-02,2016-04-27
9103,2015-04-20,2015-11-26
9165,2014-12-11,2013-07-08
9165,2014-12-11,2016-02-22
9243,2014-05-04,2014-06-16
9243,2014-05-04,2014-06-30
9243,2014-05-04,2014-09-27
9243,2014-05-04,2015-01-10
9243,2014-05-04,2015-01-26
9243,2014-05-04,2015-02-21
9243,2014-05-04,2015-04-13
9243,2014-05-04,2015-04-18
9243,2014-05-04,2015-10-03
9243,2014-05-04,2016-01-11
9243,2014-05-04,2016-01-23
9243,2014-05-04,2016-03-28
9245,2014-11-11,2014-10-13
9249,2014-05-09,2014-05-29
9249,2014-05-09,2014-06-16
9249,2014-05-09,2014-12-16
9249,2014-05-09,2015-02-14
9249,2014-05-09,2015-02-21
9249,2014-05-09,2015-11-20
9276,2016-02-11,2015-05-30
9286,2016-02-09,2016-02-16
9301,2015-11-25,2016-01-14
9322,2015-09-25,2015-11-09
9323,2015-07-10,2015-10-27
9323,2015-07-10,2016-03-01
9326,2015-06-12,2015-10-26
9327,2015-09-25,2016-01-16
9327,2015-09-25,2016-02-22
9327,2015-09-25,2016-03-12
9327,2015-09-25,2016-05-14
9328,2015-07-10,2015-10-27
9328,2015-07-10,2015-11-09
9328,2015-07-10,2016-03-01
9330,2015-09-25,2016-02-17
9331,2015-09-25,2016-03-19
9331,2015-09-25,2016-05-05
9333,2015-09-09,2015-10-19
9333,2015-09-09,2016-02-16
9333,2015-09-09,2016-02-18
9333,2015-09-09,2016-04-28
9335,2015-06-12,2015-09-26
9335,2015-06-12,2016-01-09
9335,2015-06-12,2016-04-02
9335,2015-06-12,2016-05-05
9385,2015-07-07,2015-10-19
9419,2016-03-01,2015-08-24
9419,2016-03-01,2015-11-26
9847,2016-03-01,2015-01-29
9847,2016-03-01,2015-07-24
9847,2016-03-01,2016-05-17
10032,2015-12-08,2016-01-11
10034,2016-03-01,2016-01-11
10046,2015-09-25,2015-08-04
10046,2015-09-25,2015-10-03
10046,2015-09-25,2016-01-30
10046,2015-09-25,2016-03-28
10134,2016-01-19,2016-03-17
10135,2015-10-07,2016-01-12
10135,2015-10-07,2016-03-17
10139,2016-01-19,2016-01-12
10139,2016-01-19,2016-04-27
10171,2016-03-16,2016-02-01
10182,2016-02-08,2015-11-19
10183,2016-03-01,2015-11-19
10187,2016-03-01,2015-11-03
10187,2016-03-01,2016-02-02
10195,2016-04-08,2016-03-31
10201,2016-05-13,2016-01-04
10231,2016-03-16,2016-04-12
10231,2016-03-16,2016-04-18
10308,2016-01-30,2015-10-29
10328,2015-11-18,2015-11-25
10329,2016-03-04,2016-02-01
10344,2016-01-19,2015-12-02
10344,2016-01-19,2016-03-15
10351,2016-02-04,2016-03-29
10402,2016-01-19,2015-12-07
10402,2016-01-19,2016-01-25
10412,2016-01-30,2015-11-02
10416,2016-03-29,2016-02-01
10466,2016-02-29,2016-03-29
10467,2016-02-11,2016-03-29
10472,2016-02-08,2016-03-07
10472,2016-02-08,2016-04-02
10472,2016-02-08,2016-04-19
10472,2016-02-08,2016-04-25
10472,2016-02-08,2016-04-29
10472,2016-02-08,2016-05-04
10474,2016-02-08,2016-04-02
10494,2016-03-08,2016-04-25
10495,2016-04-26,2016-05-09
10497,2016-02-08,2016-01-16
10516,2016-02-11,2016-02-01
10522,2016-02-04,2016-02-22
10533,2016-04-08,2016-04-23
10533,2016-04-08,2016-05-06
10537,2016-01-30,2015-11-23
10538,2016-01-30,2015-11-23
10590,2016-02-02,2016-03-14
10596,2016-03-29,2016-03-14
10657,2016-03-08,2016-03-23
10660,2016-03-22,2016-03-23
10667,2016-03-15,2016-03-28
10673,2016-03-22,2016-03-23
10827,2016-03-27,2016-05-07
10831,2016-03-01,2016-03-29
10835,2016-03-08,2016-05-07
11260,2016-03-30,2016-04-06
11294,2016-04-25,2016-02-02
11294,2016-04-25,2016-04-18
11295,2016-04-25,2016-02-02
516,2014-11-22,
763,2014-12-23,
796,2014-11-27,
872,2015-05-05,
991,2016-03-08,
1005,2016-02-29,
1175,2014-12-11,
1213,2016-01-19,
1322,2016-02-04,
1463,2016-04-25,
1490,2015-05-26,
1581,2014-12-11,
1611,2015-06-12,
1642,2015-05-14,
1676,2016-02-02,
1700,2015-02-27,
1703,2015-09-02,
1711,2014-07-22,
1745,2014-12-23,
1957,2015-05-26,
2070,2015-03-25,
2113,2015-06-14,
2129,2015-05-05,
2145,2014-12-08,
2225,2014-12-23,
2308,2014-09-18,
2449,2015-04-20,
2573,2015-05-05,
2607,2015-07-15,
2615,2014-11-05,
2667,2016-05-17,
2724,2015-05-14,
2727,2014-10-16,
2733,2013-11-17,
2819,2015-04-20,
2968,2014-11-27,
3137,2015-03-25,
3282,2014-12-23,
3388,2015-06-12,
3396,2014-12-11,
3433,2014-11-27,
3455,2014-12-23,
3470,2015-05-05,
3483,2014-05-04,
3522,2014-10-16,
3770,2014-10-03,
3812,2015-06-12,
3882,2015-04-20,
3914,2014-07-07,
3923,2015-02-27,
4152,2014-12-23,
4203,2013-09-15,
4297,2016-04-19,
4400,2016-02-29,
4443,2014-11-27,
4669,2014-10-16,
4727,2016-03-16,
4772,2016-03-15,
4787,2014-10-03,
4948,2016-05-17,
5006,2013-11-25,
5057,2014-11-09,
5165,2015-03-15,
5350,2015-03-25,
5371,2014-12-23,
5487,2015-01-21,
5506,2014-10-03,
5509,2015-07-08,
5601,2015-06-12,
5607,2015-07-22,
5706,2016-01-27,
5707,2015-05-14,
5800,2015-07-28,
5847,2015-05-26,
5866,2016-03-08,
5888,2016-02-11,
6001,2014-05-09,
6005,2014-11-22,
6062,2016-02-19,
6131,2016-01-19,
6263,2015-03-12,
6266,2016-02-11,
6284,2014-10-03,
6370,2014-09-18,
6420,2012-05-27,
6467,2015-06-12,
6525,2014-09-18,
6642,2014-12-08,
6701,2016-03-08,
6769,2015-03-12,
6797,2016-04-19,
6808,2014-05-04,
6847,2016-03-01,
6849,2014-09-18,
6984,2014-12-08,
7017,2016-03-08,
7053,2015-04-20,
7163,2013-11-17,
7184,2016-04-21,
7405,2014-11-05,
7483,2014-12-23,
7582,2015-05-26,
7693,2016-04-19,
7714,2014-12-23,
7857,2016-02-12,
7873,2014-09-18,
7973,2015-05-14,
8026,2014-12-08,
8053,2015-02-28,
8114,2015-05-26,
8236,2016-02-11,
8335,2015-09-25,
8482,2016-05-17,
8692,2016-01-27,
8770,2016-04-07,
8805,2015-04-20,
8982,2015-05-26,
9150,2016-02-11,
9291,2016-02-02,
9311,2015-07-11,
9314,2016-03-01,
9317,2015-07-11,
9321,2015-10-22,
9329,2015-09-25,
9332,2015-12-08,
9334,2016-01-18,
9341,2016-04-13,
9383,2015-07-07,
9386,2016-02-02,
9391,2015-07-07,
9394,2015-07-07,
9396,2016-02-02,
9400,2015-07-07,
9401,2016-02-29,
9406,2015-07-08,
9407,2015-06-23,
9409,2015-07-03,
9410,2015-06-23,
9533,2016-02-19,
9550,2016-04-08,
9869,2016-05-13,
9930,2016-02-17,
10031,2016-03-04,
10035,2016-01-19,
10037,2016-01-19,
10038,2015-09-25,
10041,2016-01-19,
10045,2016-03-29,
10138,2015-10-13,
10165,2015-10-22,
10168,2016-03-15,
10169,2016-03-15,
10217,2016-03-01,
10307,2016-04-08,
10310,2016-01-19,
10317,2015-12-08,
10319,2016-04-19,
10327,2016-03-15,
10330,2016-02-29,
10332,2016-02-04,
10334,2016-04-13,
10381,2016-02-08,
10386,2016-03-09,
10393,2016-01-19,
10398,2016-04-01,
10399,2016-04-01,
10414,2016-03-15,
10462,2016-02-04,
10463,2016-02-11,
10464,2016-02-11,
10465,2016-02-11,
10468,2016-04-13,
10473,2016-02-08,
10480,2016-02-19,
10481,2016-03-15,
10482,2016-02-12,
10483,2016-02-11,
10486,2016-03-15,
10490,2016-02-11,
10496,2016-02-08,
10511,2016-02-08,
10512,2016-03-01,
10514,2016-04-21,
10515,2016-02-02,
10517,2016-02-19,
10518,2016-04-26,
10519,2016-03-22,
10525,2016-03-30,
10526,2016-02-04,
10528,2016-02-04,
10529,2016-04-08,
10532,2016-02-11,
10534,2016-03-01,
10535,2016-04-13,
10536,2016-03-28,
10585,2016-03-01,
10656,2016-05-17,
10934,2016-02-29,
10935,2016-04-01,
10936,2016-03-21,
10937,2016-02-17,
10940,2016-04-07,
10942,2016-02-17,
10943,2016-02-17,
10945,2016-03-15,
10949,2016-04-07,
10950,2016-05-17,
10953,2016-04-26,
11184,2016-05-17,
11190,2016-04-08,
11193,2016-04-19,
11197,2016-05-03,
11248,2016-02-25,
11249,2016-02-25,
11250,2016-02-25,
11251,2016-02-25,
11252,2016-02-25,
11253,2016-03-01,
11255,2016-04-14,
11262,2016-04-19,
11265,2016-03-15,
11268,2016-03-16,
11278,2016-03-29,
11280,2016-04-19,
11292,2016-02-29,
11293,2016-03-01,
11298,2016-04-21,
11311,2016-04-19,
